노래,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
"('사랑은 늘 도망가', '임영웅')",5,,,,,,,,,,
"('코 끝이 찡하게', '차가을')",5,,,,,,,,,,
"('혼자 사랑하고 미워해', '백예슬')",5,,,,,,,,,,
"('비 오는 날 듣기 좋은 노래 (Feat. Colde)', '에픽하이 (EPIK HIGH)')",5,,,,,,,,,,
"('Your Lights', '이수 (엠씨더맥스)')",5,,,,,,,,,,
"('너와 나 우리 (Feat. ZELO of B.A.P)', '이예준')",5,,,,,,,,,,
"('별이 쏟아지는 밤', '려욱 (RYEOWOOK)')",5,,,,,,,,,,
"('헤픈 우연', '헤이즈 (Heize)')",5,,,,,,,,,,
"('Falling', 'Harry Styles')",5,,,,,,,,,,
"('High', '5 Seconds of Summer')",5,,,,,,,,,,
"('If the World Was Ending (feat. Julia Michaels) (Feat. Julia Michaels)', 'JP Saxe')",5,,,,,,,,,,
"('그냥 안아달란 말야', '다비치')",5,,,,,,,,,,
"('2 soon', 'keshi')",5,,,,,,,,,,
"('r u ok', 'Tate McRae')",5,,,,,,,,,,
"('cheap sunglasses', 'John K')",5,,,,,,,,,,
"('Rain', '태연 (TAEYEON)')",5,,,,,,,,,,
"('어떻게 이별까지 사랑하겠어, 널 사랑하는 거지', 'AKMU (악뮤)')",5,,,,,,,,,,
"('기다릴게', '하동균')",5,,,,,,,,,,
"('사랑하기 싫어', '봉구')",5,,,,,,,,,,
"('Gone', '영지')",5,,,,,,,,,,
"('To Die For (Acoustic)', '로제 (ROSÉ)')",5,,,,,,,,,,
"('Rosario (Feat. CL, ZICO)', 'Sam Smith')",5,,,,,,,,,,
"('rainy day', '에픽하이 (EPIK HIGH)')",5,,,,,,,,,,
"('LMM', '휘성 (Realslow)')",5,,,,,,,,,,
"('사랑 못해, 남들 쉽게 다 하는 거', '태일 (블락비)')",5,,,,,,,,,,
"('멜로디', '청하')",5,,,,,,,,,,
"('사랑한단 거짓말은 안 할래', '화사 (Hwa Sa)')",5,,,,,,,,,,
"('함께 했는데 이별은 나 혼자인 거야', '먼데이 키즈 (Monday Kiz)')",5,,,,,,,,,,
"('X (걸어온 길에 꽃밭 따윈 없었죠)', 'ASH ISLAND')",5,,,,,,,,,,
"('그리워하면 그댈 만날까봐', '먼데이 키즈 (Monday Kiz)')",5,,,,,,,,,,
"('오월의 어느 봄날 (Feat. 첸(CHEN))', '최현준 (V.O.S)')",5,,,,,,,,,,
"('혼술하고 싶은 밤', '이소정')",5,,,,,,,,,,
"('가을밤에 든 생각', '청하')",5,,,,,,,,,,
"('사실 나는 (Feat.전건호)', '김나영')",5,,,,,,,,,,
"('널 사랑했던 한 사람', '임한별')",5,,,,,,,,,,
"('안녕과 안녕으로', '벤')",5,,,,,,,,,,
"('Daybreak (Minhyun&JR)', '잔나비')",5,,,,,,,,,,
"('사랑은 지날수록 더욱 선명하게 남아', '경서예지')",5,,,,,,,,,,
"('처음이라서', '펀치 (Punch)')",5,,,,,,,,,,
"('Purpose (Stripped)', '이예준')",5,,,,,,,,,,
"('안녕, 오늘의 그대에게', '뉴이스트')",5,,,,,,,,,,
"('Like Strangers Do', '전상근')",5,,,,,,,,,,
"('반만', '정효빈')",5,,,,,,,,,,
"('어떻게 지내 (Prod. By VAN.C)', 'Etham')",5,,,,,,,,,,
"('AND I', '임한별')",5,,,,,,,,,,
"('아름답고도 아프구나', 'AJ Mitchell')",5,,,,,,,,,,
"('Lonely Night', '진민호')",5,,,,,,,,,,
"('I’ll Still Have Me', '오반')",5,,,,,,,,,,
"('아무렇지 않게, 안녕', '뉴이스트 W')",5,,,,,,,,,,
"('넌 내가 보고 싶지 않나 봐', '비투비')",5,,,,,,,,,,
"('어떤X (What Type of X)', '제시 (Jessi)')",,5,,,,,,,,,
"('Break', '빈지노 (Beenzino)')",,5,,,,,,,,,
"('가라고 (Gotta Go)', '선미')",,5,,,,,,,,,
"('야 우냐 (U MAD)', 'BOBBY')",,5,,,,,,,,,
"('GIDDY UP (Prod. GroovyRoom)', '식케이 (Sik-K)')",,5,,,,,,,,,
"('WHY DO FUCKBOIS HANG OUT ON THE NET', '김하온 (HAON)')",,5,,,,,,,,,
"('Boss Bitch', 'pH-1')",,5,,,,,,,,,
"('BOSS', 'Woodie Gochild')",,5,,,,,,,,,
"('Psycho', '박재범')",,5,,,,,,,,,
"('TOMBOY', '키드밀리 (Kid Milli)')",,5,,,,,,,,,
"('DNA Remix', 'Doja Cat')",,5,,,,,,,,,
"('Step Back', 'NCT U')",,5,,,,,,,,,
"('Cherry Bomb', 'Mia Rodriguez')",,5,,,,,,,,,
"('Burn (Feat. 쿠기)', '(여자)아이들')",,5,,,,,,,,,
"('미쳐', '박재범')",,5,,,,,,,,,
"('나쁜 기집애', 'YLN Foreign (이정운)')",,5,,,,,,,,,
"('보자보자', 'D.Ark (디아크)')",,5,,,,,,,,,
"('욱 (UGH!)', '365LIT')",,5,,,,,,,,,
"('영웅 (英雄; Kick It)', 'pH-1')",,5,,,,,,,,,
"('품행제로', '릴보이 (lIlBOI)')",,5,,,,,,,,,
"('소년점프 (Feat. 배기성)', '이영지')",,5,,,,,,,,,
"('돌덩이', '아우릴고트 (OUREALGOAT)')",,5,,,,,,,,,
"('Anarchy', 'Choo')",,5,,,,,,,,,
"('그건 니 생각이고', 'OSUN (권오선)')",,5,,,,,,,,,
"('아예 (Ah Yeah)', 'GOT the beat')",,5,,,,,,,,,
"('거절할 거야', 'NCT 127')",,5,,,,,,,,,
"('Dumb Litty', '그루비룸 (GroovyRoom)')",,5,,,,,,,,,
"('Uh-Oh', '4minute')",,5,,,,,,,,,
"('So Pretty', 'CL')",,5,,,,,,,,,
"('Very Good (Rough Ver.)', '머쉬베놈 (MUSHVENOM)')",,5,,,,,,,,,
"('High Hopes', '방탄소년단')",,5,,,,,,,,,
"('출첵 (Feat. 나얼 For Brown Eyed Soul)', 'NCT 127')",,5,,,,,,,,,
"('얼음 땡 (Ice Ice) (Feat. 육지담)', '블락비 바스타즈')",,5,,,,,,,,,
"('HIP', '마미손')",,5,,,,,,,,,
"('My Number', '하현우 (국카스텐)')",,5,,,,,,,,,
"('사이다', 'Jvcki Wai')",,5,,,,,,,,,
"('Hello Bitches', '장기하와 얼굴들')",,5,,,,,,,,,
"('털어! (Feat. M1NU, Veinyfl, Swervy, 래원, 이영지, Lil Nekh, D.Ark)', 'EXID')",,5,,,,,,,,,
"('Darl+ing', '세븐틴')",,,5,,,,,,,,
"('MAISON', '드림캐쳐')",,,5,,,,,,,,
"('LA LA POP!', '하성운')",,,5,,,,,,,,
"('LOVE DIVE', 'IVE (아이브)')",,,5,,,,,,,,
"('MY BAG', '(여자)아이들')",,,5,,,,,,,,
"('봄이 피어나', '비투비')",,,5,,,,,,,,
"('D-DAY', '휘인 (Whee In)')",,,5,,,,,,,,
"('DICE', '온유 (ONEW)')",,,5,,,,,,,,
"('사랑인가 봐 (Acoustic Ver.)', '김세정')",,,5,,,,,,,,
"('Grey Suit', '수호 (SUHO)')",,,5,,,,,,,,
"('Feel My Rhythm', 'Red Velvet (레드벨벳)')",,,5,,,,,,,,
"('Go!', '도겸 (SEVENTEEN)')",,,5,,,,,,,,
"('TOMBOY', '(여자)아이들')",,,5,,,,,,,,
"('버퍼링 (Glitch Mode)', 'NCT DREAM')",,,5,,,,,,,,
"('Glitch', '권은비')",,,5,,,,,,,,
"('Real Love', '오마이걸 (OH MY GIRL)')",,,5,,,,,,,,
"('DAYDREAM', '하이라이트 (Highlight)')",,,5,,,,,,,,
"('INVU', '태연 (TAEYEON)')",,,5,,,,,,,,
"('Starlight', '태일 (TAEIL)')",,,5,,,,,,,,
"('예뻤어', '원필 (DAY6)')",,,5,,,,,,,,
