,가사
0,"
							눈물이 난다 이 길을 걸으면그 사람 손길이 자꾸 생각이 난다붙잡지 못하고 가슴만 떨었지내 아름답던 사람아사랑이란 게 참 쓰린 거더라잡으려 할수록 더 멀어지더라이별이란 게 참 쉬운 거더라내 잊지 못할 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데바람이 분다 옷깃을 세워도차가운 이별의 눈물이 차올라잊지 못해서 가슴에 사무친내 소중했던 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데기다림도 애태움도 다 버려야 하는데무얼 찾아 이 길을 서성일까무얼 찾아 여기 있나사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데잠시 쉬어가면 좋을 텐데
"
1,"
							오랜만에 친구를 만나이런저런 얘기를 나눴어얼굴이 안 좋아 보인데무슨 일 있냐고물어보는 질문에 마음이 울컥해많이 사랑했었고 그만큼 아팠었던그때의 우리가 생각나서눈이 붓도록 울었어코 끝이 찡하게 사랑했던계절이 다시 돌아와이 슬픔이 얼른 그쳤으면 좋겠어날씨 탓일까 마음 한 구석이꽉 막혀서 체한 것 같이 아파와잘 견뎌왔는데 너무 보고 싶어가장 행복했었고 웃음도 많았었던그때의 우리가 그리워서밤을 새도록 울었어코 끝이 찡하게 사랑했던계절이 다시 돌아와이 슬픔이 얼른 그쳤으면 좋겠어날씨 탓일까 마음 한 구석이꽉 막혀서 체한 것 같이 아파와잘 견뎌왔는데 너무 보고 싶어그땐 내가 너무 어렸었나 봐괜한 고집부리며아프게 하고 널 밀어냈어코 끝이 찡하게 사랑했던네가 너무 보고 싶어서정신을 차릴 수 없을 만큼 힘들어헤어진 게 다 꿈이었으면자고 일어나면 아무 일 없는 듯내 이름을 네가 꼭 불러줬으면
"
2,"
							흐린 새벽에 무심히 핸드폰 속가만히 들여다보면너와 함께한 추억 아직 남아서괜스레 또 그리워져가이따금씩 네가 자꾸 생각날 때면아쉬움이 번져 선명한그때 나로 돌아가널 붙잡고 내 맘 또 기억 속의 너에게말을 꺼내 그때 너는 왜 그랬어혼자 사랑하고 미워해 난 오늘도어떤 날엔 네가 내게 와다시 날 안아줄 것 같아우리 사랑했던 날은멀어져만 가고 있지만넌 어떠니 가끔 내가그리워지지는 않니우리 그땐 좋았었는데이렇게 결국엔 남보다못한 사이 되나 봐안되는 건 억지로 해도 안된다는 걸헤어지고 이제서야 깨달았어혼자 사랑하고 미워해 난 오늘도어떤 날엔 네가 내게 와다시 날 안아줄 것 같아우리 사랑했던 날은멀어져만 가고 있지만넌 어떠니 가끔 내가 그리워지진 않니너와 나 좋은 기억만괜찮은 일들만 자꾸 생각이 나서한걸음 또 한 걸음도너를 보낼 수가 없어나를 사랑한다던 너는 이제 없어보내야 하는데 왜자꾸 내 맘이 더 슬퍼져너를 사랑한다며 이제 와 다시붙잡아 봐도매일같이 반복해도이별이란 말만 커져
"
3,"
							비가 오고네가 생각나비가 오고또 비가 오고슬픈 음악이 흐르면옛 노래처럼네가 생각나네가 생각나비가 오고잠이 안 오고슬픈 음악이 흐르면옛 가사처럼네가 생각나네가 생각나네가 생각나술이 물처럼 넘어가네오늘따라몸이 예전 같지 않은 걸내 마음이 모르나 봐때마침 네가 좋아했던옛 노래도 흐르니다시 손 틈새 스며드는 memory위험해 위험해속 시원하게 운다감정을 일절 금했다간한 순간에 훅 가구차하게 내 탓 네 탓이 쓸쓸한 날씨 탓 하긴 싫다마음 편히 널 그리워할래인생 뭐 있냐어차피 알 수 없는 내일인데I know I knowyou will never take me back마음이 약해질 수록 술이 더 세지네 이런 내가 싫겠지만 이해해인생 뭐 있냐 몇 장 뒤엔마지막 페이지인데I know I knowyou will never take me back그칠 때만 되면 또 다시 비가 내리네난 잘 지내비가 오고또 비가 오고슬픈 음악이 흐르면옛 노래처럼네가 생각나네가 생각나비가 오고잠이 안 오고슬픈 음악이 흐르면옛 가사처럼네가 생각나네가 생각나네가 생각나다 잊고 싶었지만증발했다고 믿었던추억이 비가 됐나 봐창밖에 쏟아지는 빗방울내 마음을 두드리면엉킨 감정을 풀고다시 이어지는 인연괜찮은 척 해서더 아파야 했던 지난 날이젠 웃으며 맞이하네공허한 밤 혼자 내뱉는 이 넋두리도메아리 치다 지쳐언젠가 끝나겠지 뭐내버려 둬사랑 뭐 있냐어차피 돌아서면 남인데I know I knowyou will never take me back몸이 멀어질 수록멀어지는게 마음인데이런 내가 싫겠지만 이해해사랑 뭐 있냐 몇 장 뒤엔마지막 페이지인데I know I knowyou will never take me back그칠 때만 되면 또 다시 비가 내리네잘 지내비가 오고또 비가 오고슬픈 음악이 흐르면옛 노래처럼네가 생각나네가 생각나비가 오고잠이 안 오고슬픈 음악이 흐르면옛 가사처럼네가 생각나네가 생각나네가 생각나비 오는 날에듣기 좋은 노래자꾸만 더 늘어가네요비가 오고비가 오고또 비가 오고슬픈 음악이 흐르면옛 노래처럼네가 생각나네가 생각나비가 오고잠이 안 오고슬픈 음악이 흐르면옛 가사처럼네가 생각나네가 생각나네가 생각나비 오는 날에듣기 좋은 노래자꾸만 더 늘어가네요이 비가 그치는 날에해 뜨는 날에이런 노래그만할게요
"
4,"
							나는 흙으로부터 왔고다시금 그리 가겠지한낱 그런 삶일 뿐인데 그게 다인데새벽은 짙고 나는 깊어 잠겨버렸네사랑의 모양과 사람의 진심을무엇도 알지 못한 채세상의 모든 일에 해답을 찾는 것은무거운 어깨 위로 짐을 얹게 되는 것마음 놓을 자리를 쉽게 찾지 못하고고단한 삶 속에서모두 버려지는 내 꿈들이 새벽이 끝나길 바라너와 나 둘이서 가자 빛으로결국 떠나길 잘 했다고 웃는 두 눈은어둠이 걷힌 새 아침을 보게 될 거야사랑의 모양과 사람의 마음도조금은 알 수 있다고그렇게 믿는 일이 서로를 지키는 것선명한 모습으로 너의 앞에 서는 것어두운 질문 속에도 환한 답을 찾는 것우리를 위한 길이거기 있다고 믿어 나는이 길을 달려가자 새벽을 걷어내고사랑을 하자 미움을 져버리고여기 이대로 그저 곁에 있을게우리가 갈 수 없는 길은없다고 말해 줄게
"
5,"
							너와 내가 함께한 순간들그 모든 게 하나같이 다 선명해아무리 아무리 많은 말 꺼내고눈빛을 나눠도오늘의 아쉬움 줄어들지 않아그 무엇도 어떤 누구도널 대신할 순 없겠지우리 특별한 마음 소중한 추억도이제는 다 여기 남아잠시 묻어두고 떠나지만항상 나의 맘엔 영원할 거야안녕 오늘이 마지막 끝은 아냐우리 따뜻했던 마음은잊지 않을 거야나는 너의 곁에 너의 옆자리에언제나 서 있어I'm always with you항상 기억해 미소짓는너와 나 우리uh uh uh uh uh uh uh uh uh uh너와 나 우리uh uh uh uh uh uh uh uh uh uh너와 나 우리넘어져도 일어나 난 계속 Try이렇게 하면 볼 수 있겠지언젠가는 다날 잊지 않는 너의 기억 속에이 편지를 담아언제나내가 존재하는 이유는 너You’re right마지막 인사에 기분 이상해아쉬움 앞에 공허해지는새벽 밤공기 위 입김을 불어사인해 7년이 갔네선물이라 생각해주길 이 SilenceSilence더 표현해야지그래도 돼 사실널 대신하는 건 없고부족했어 많이너와 난 마지막이 아니야 아직앞날을 만들어볼 게 환하게My dear그 무엇도 어떤 누구도널 대신할 순 없겠지우리 특별한 마음 소중한 추억도이제는 다 여기 남아잠시 묻어두고 떠나지만항상 나의 맘엔 영원할 거야안녕 오늘이 마지막 끝은 아냐우리 따뜻했던 마음은잊지 않을 거야나는 너의 곁에 너의 옆자리에언제나 서 있어I'm always with you항상 기억해 아름답던너와 나 우리모든 게 다 변해가도걱정 마 내가 있어내 모습이 희미해져도괜찮아 나는 널영원히 기억할 거야Promise 약속해 Promise안녕 오늘이 마지막 끝은 아냐우리 가슴속에 기억들영원함일 거야나는 너의 곁에 너의 옆자리에언제나 서 있어I'm always with you항상 기억해 아름답던너와 나 우리uh uh uh uh uh uh uh uh uh uh너와 나 우리uh uh uh uh uh uh uh uh uh uh너와 나 우리
"
6,"
							새까만 밤하늘 위에빛이 나는 별 하나누굴 위해 빛나는진 몰라도밤새도록 외로이 있네나 문득 그리워 진 건그댈 볼 수 없음에나의 일기장에 그대 이름만자꾸 적어 봅니다별이 쏟아지는 밤별빛 하나 그대를 닮아서주머니 속에 감춰서그대에게 전해 주리그대의 그늘진 얼굴위로 할 순 없지만멀리서도 나를 찾을 수 있게길을 비춰 줄게요별이 쏟아지는 밤별빛 하나 그대를 닮아서주머니 속에 감춰서그대에게 전해 주리눈을 감아봐도 스며들어와그댄 어떡해야 하나별은 쏟아져 오고그댄 내 마음에영원토록 빛나고 있어꿈처럼 피어나는 밤나의 하늘 그대로 가득 차어여쁜 편지 위에 다마음 가득 담아 주리
"
7,"
							처음이라기엔 너무길을 이미 다 아는 듯이우연히라기엔 모두다 정해진 듯이우연히 눈을 떠 보니이 세상에 태어나 있었고하필 네가 있는 곳이었다서서히 몸에 배어버린사소한 습관들이네게로 가는 길을 내게 알려줘처음이라기엔 너무길을 이미 다 아는 듯이우연히라기엔 모두다 정해진 듯이고통의 사랑도보통의 이별도You can make it happen You can make it heaven 우연히라기엔 모두다 정해진 듯이만약 내가 그때 그곳을헤매지 않았더라면 그날 네가 마음 아픈 이별을 안 했었더라면 네 뒤를 따라 걷던 곳네가 떨어트렸던 꽃 위태롭던 시간 속서로를 기다려왔어운명이라고 하기엔이를 수 있다 생각해우연히라고 하기엔설명이 필요한 것 같아어쩌면 또 스칠 수 있을지 몰라도지금이 아니면 안 될 것 같던 그 때로처음이라기엔 너무길을 이미 다 아는 듯이우연히라기엔 모두다 정해진 듯이고통의 사랑도보통의 이별도You can make it happen You can make it heaven 우연히라기엔 모두다 정해진 듯이어쩌면 기억을 지운 채로하나였던 우린 둘이 되고 운명이란 작은 점 안에서 서로를 찾으며 살았는지도고통의 사랑도보통의 이별도You can make it happen You can make it heaven 우연히라기엔 모두다 정해진 듯이우연히서서히점점 더 멀어져가 우연히천천히처음그곳으로 가
					"
8,"
							I'm in my bedAnd you're not hereAnd there's no one to blamebut the drink and my wandering handsForget what I saidIt's not what I meantAnd I can't take it backI can't unpack the baggage you leftWhat am I now What am I nowWhat if I'm someoneI don't want aroundI'm falling againI'm falling again I'm fallin'What if I'm down What if I'm outWhat if I'm someoneyou won't talk aboutI'm falling againI'm falling again I'm fallin'You said you careand you missed me tooAnd I'm well awareI write too many songs about youAnd the coffee's outat the Beachwood CafeAnd it kills me 'cause I knowwe've ran out of things we can sayWhat am I now What am I nowWhat if I'm someoneI don't want aroundI'm falling againI'm falling again I'm fallin'What if I'm down What if I'm outWhat if I'm someoneyou won't talk aboutI'm falling againI'm falling again I'm fallin'And I get the feelingthat you'll never need me againWhat am I now What am I nowWhat if you're someoneI just want aroundI'm falling againI'm falling again I'm fallin'What if I'm down What if I'm outWhat if I'm someoneyou won't talk aboutI'm falling againI'm falling again I'm fallin'
"
9,"
							Check twoI hope you think of me highI hope you think of me highlyWhen you're with someone elseI know your friends all lieI know your friends don't like meThey want you for themselvesToday I called to tell youthat I'm changingBut I don't think you haveenough respect to see me tryI've been waking upin different spacesAnd I think that my heart isbuilt to last more than a nightI need to stop letting me downdown down down downI need to stop letting me downdown down down downI hope you think of me highI hope you think of me highlyWhen you're with someone elseI know your friends all lieI know your friends don't like meThey want you for themselvesI know I'll never meetyour expectations Ah ahBut the picture that you paintof me looks better in your mindNow every step I takewith hesitation Ah ahAnd I'll always miss thememories of the morningswe were highI need to stop letting me downdown down down downI need to stop letting me downdown down down downI hope you think of me highI hope you think of me highlyWhen you're with someone elseI know your friends all lieI know your friends don't like meThey want you for themselvesDa da da da da da da daDa da da oohWhen you're with someone elseDa da da da da da da daDa da da oohThey want you for themselvesI hope you think of me highI hope you think of me highlyWhen you're with someone else
"
