,노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,사랑은 늘 도망가,임영웅,9,0,0,1,0,0,0,2,0,11,4
1,코 끝이 찡하게,차가을,8,0,1,0,0,0,0,0,1,4,1
2,혼자 사랑하고 미워해,백예슬,7,1,1,0,0,2,0,2,0,6,0
3,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),19,2,5,2,0,3,1,1,0,5,0
4,Your Lights,이수 (엠씨더맥스),6,0,2,0,0,2,0,1,0,3,1
5,너와 나 우리 (Feat. ZELO of B.A.P),이예준,8,0,0,0,0,0,0,4,0,4,0
6,별이 쏟아지는 밤,려욱 (RYEOWOOK),6,0,0,0,0,0,0,0,0,1,1
7,헤픈 우연,헤이즈 (Heize),9,0,0,0,0,0,0,0,4,3,2
8,Falling,Harry Styles,5,0,0,0,0,0,0,0,0,0,0
9,High,5 Seconds of Summer,5,0,0,0,0,0,0,0,0,0,0
10,If the World Was Ending (feat. Julia Michaels) (Feat. Julia Michaels),JP Saxe,5,0,0,0,0,0,0,0,0,0,0
11,그냥 안아달란 말야,다비치,9,0,0,0,0,0,0,2,0,1,0
12,2 soon,keshi,5,0,0,0,0,0,0,0,0,0,0
13,r u ok,Tate McRae,5,0,0,0,0,0,0,0,0,0,0
14,cheap sunglasses,John K,5,0,0,0,0,0,0,0,0,0,0
15,Rain,태연 (TAEYEON),7,0,0,0,0,0,1,3,2,0,1
16,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),14,2,0,0,0,0,0,0,2,8,2
17,기다릴게,"하동균, 봉구",9,0,0,0,0,0,0,4,1,7,1
18,사랑하기 싫어,영지,10,0,0,0,0,1,2,0,0,3,0
19,Gone,로제 (ROSÉ),5,0,0,0,0,0,0,0,0,0,0
20,To Die For (Acoustic),Sam Smith,5,0,0,0,0,0,0,0,0,0,0
21,"Rosario (Feat. CL, ZICO)",에픽하이 (EPIK HIGH),9,3,6,3,1,1,1,2,1,1,2
22,rainy day,"휘성 (Realslow), 태일 (블락비), 청하",18,0,0,0,1,0,0,3,1,1,0
23,LMM,화사 (Hwa Sa),6,0,0,0,0,0,0,0,1,0,1
24,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),8,0,4,0,0,0,0,1,0,2,0
25,멜로디,ASH ISLAND,6,1,0,1,0,1,0,0,0,0,1
26,사랑한단 거짓말은 안 할래,"먼데이 키즈 (Monday Kiz), 최현준 (V.O.S)",5,3,2,0,2,1,1,0,2,9,0
27,함께 했는데 이별은 나 혼자인 거야,이소정,10,1,0,0,0,0,0,0,0,6,0
28,X (걸어온 길에 꽃밭 따윈 없었죠),청하,9,0,0,3,0,1,0,0,0,2,0
29,그리워하면 그댈 만날까봐,김나영,8,0,0,0,0,0,2,2,0,3,0
30,오월의 어느 봄날 (Feat. 첸(CHEN)),임한별,7,0,0,0,0,1,0,0,0,11,0
31,혼술하고 싶은 밤,벤,24,1,1,1,0,1,0,1,0,1,0
32,가을밤에 든 생각,잔나비,6,0,0,0,1,0,0,4,0,2,6
33,사실 나는 (Feat.전건호),경서예지,13,0,1,0,0,2,0,0,3,5,0
34,널 사랑했던 한 사람,펀치 (Punch),19,0,0,0,0,0,0,1,0,5,0
35,안녕과 안녕으로,이예준,7,0,2,0,0,0,1,0,2,2,0
36,Daybreak (Minhyun&JR),뉴이스트,8,0,1,4,0,0,0,1,1,1,1
37,사랑은 지날수록 더욱 선명하게 남아,전상근,12,2,2,2,0,2,0,6,0,6,0
38,처음이라서,정효빈,9,0,2,0,0,0,0,0,1,0,1
39,Purpose (Stripped),Etham,5,0,0,0,0,0,0,0,0,0,0
40,"안녕, 오늘의 그대에게",임한별,6,0,3,0,0,0,0,2,2,10,0
41,Like Strangers Do,AJ Mitchell,5,0,0,0,0,0,0,0,0,0,0
42,반만,진민호,5,0,0,0,0,1,0,0,0,3,0
43,어떻게 지내 (Prod. By VAN.C),오반,7,0,0,0,1,0,0,0,4,1,2
44,AND I,뉴이스트 W,7,0,0,0,0,0,0,1,1,5,1
45,아름답고도 아프구나,비투비,17,0,2,0,2,0,0,3,7,11,0
46,Lonely Night,권진아,13,0,0,0,0,0,0,0,0,0,0
47,I’ll Still Have Me,Cyn,5,0,0,0,0,0,0,0,0,0,0
48,"아무렇지 않게, 안녕",HYNN (박혜원),10,0,4,0,0,0,1,0,0,1,2
49,넌 내가 보고 싶지 않나 봐,신예영,11,0,1,0,0,0,1,0,0,6,0
50,어떤X (What Type of X),제시 (Jessi),2,5,1,2,0,0,0,2,0,0,0
51,Break,빈지노 (Beenzino),1,5,2,0,1,12,1,1,1,2,2
52,가라고 (Gotta Go),선미,0,5,0,0,0,1,0,1,3,0,0
53,야 우냐 (U MAD),BOBBY,2,14,4,0,0,3,1,1,1,2,1
54,WHY DO FUCKBOIS HANG OUT ON THE NET,키드밀리 (Kid Milli),2,6,0,1,0,0,2,4,0,0,0
55,부럽지가 않어,장기하,0,6,10,0,0,0,0,0,0,0,0
56,GIDDY UP (Prod. GroovyRoom),"식케이 (Sik-K), 김하온 (HAON), pH-1, Woodie Gochild, 박재범",3,6,2,1,0,0,0,1,0,1,0
57,Boss Bitch,Doja Cat,0,5,0,0,0,0,0,0,0,0,0
58,BOSS,NCT U,1,5,0,0,0,0,0,5,2,1,1
59,Psycho,Mia Rodriguez,0,5,0,0,0,0,0,0,0,0,0
60,Uh-Oh,(여자)아이들,0,5,6,1,0,2,0,0,0,6,3
61,TOMBOY,(여자)아이들,1,7,0,0,0,2,0,2,1,3,0
62,DNA Remix,"박재범, YLN Foreign (이정운), D.Ark (디아크), 365LIT, pH-1, 릴보이 (lIlBOI), 이영지, 아우릴고트 (OUREALGOAT), Choo, OSUN (권오선)",9,9,5,1,1,4,1,8,0,0,3
63,Step Back,GOT the beat,4,6,5,4,0,1,0,3,0,2,0
64,Cherry Bomb,NCT 127,18,5,1,2,0,1,0,0,0,0,35
65,Burn (Feat. 쿠기),그루비룸 (GroovyRoom),5,5,2,1,0,4,0,2,0,2,0
66,그건 니 생각이고,장기하와 얼굴들,2,5,0,0,0,0,0,0,0,0,0
67,아예 (Ah Yeah),EXID,2,7,0,2,0,0,0,1,0,1,1
68,거절할 거야,장기하와 얼굴들,17,10,6,0,0,10,0,0,1,0,0
69,미쳐,4minute,0,5,2,17,2,6,0,25,0,0,0
70,나쁜 기집애,CL,21,27,3,1,1,1,0,4,0,3,0
71,보자보자,머쉬베놈 (MUSHVENOM),3,6,1,2,0,2,0,4,1,3,2
72,욱 (UGH!),방탄소년단,3,30,3,0,0,0,1,1,1,0,4
73,소년점프 (Feat. 배기성),마미손,3,8,3,1,5,3,0,0,2,1,3
74,돌덩이,하현우 (국카스텐),1,5,1,0,0,0,0,0,2,0,0
75,Anarchy,Jvcki Wai,0,5,1,0,0,1,0,0,0,0,2
76,Dumb Litty,카드 (KARD),0,5,3,0,0,0,0,0,1,0,3
77,So Pretty,Reyanna Maria,0,5,0,0,0,0,0,0,0,0,0
78,Very Good (Rough Ver.),블락비 (Block B),2,5,2,0,3,1,2,2,0,2,1
79,High Hopes,Panic! At The Disco,0,5,0,0,0,0,0,0,0,0,0
80,출첵 (Feat. 나얼 For Brown Eyed Soul),다이나믹 듀오,3,6,1,0,1,3,0,1,1,1,0
81,얼음 땡 (Ice Ice) (Feat. 육지담),현아,0,7,3,3,1,1,0,6,0,2,1
82,HIP,마마무 (Mamamoo),1,5,3,0,3,0,0,2,0,0,3
83,My Number,치타 (CHEETAH),1,5,0,1,0,0,0,3,0,1,0
84,품행제로,블락비 바스타즈,1,12,4,0,0,0,0,3,0,1,0
85,사이다,예지,7,6,1,1,0,0,0,1,5,0,0
86,Hello Bitches,CL,0,5,1,0,0,0,0,0,0,0,0
87,"털어! (Feat. M1NU, Veinyfl, Swervy, 래원, 이영지, Lil Nekh, D.Ark)",BIG Naughty (서동현),11,8,1,2,2,10,1,1,1,2,1
88,Savior,김성규,2,0,5,0,0,2,0,0,0,1,0
89,Shooting Star,남우현,2,0,5,0,0,0,0,0,0,0,1
90,MAISON,드림캐쳐,3,1,5,0,1,2,0,2,0,0,1
91,Darl+ing,세븐틴,0,0,5,0,0,0,0,0,0,0,0
92,LOVE DIVE,IVE (아이브),0,0,5,0,0,0,9,4,1,1,2
93,End Of Story,유아 (오마이걸),3,0,13,0,0,0,0,1,0,2,2
94,LA LA POP!,하성운,1,1,6,2,0,1,0,4,0,3,2
95,MY BAG,(여자)아이들,2,5,7,1,1,1,0,3,0,1,0
96,봄이 피어나,비투비,1,0,6,0,0,0,0,1,0,3,3
97,사랑인가 봐 (Acoustic Ver.),김세정,0,0,6,0,0,0,0,0,0,5,0
98,RAINBOW,여자친구 (GFRIEND),2,0,6,0,0,0,0,4,4,3,2
99,DICE,온유 (ONEW),0,0,5,0,0,0,0,1,0,0,0
100,D-DAY,휘인 (Whee In),2,0,5,0,1,0,0,0,1,0,0
101,Grey Suit,수호 (SUHO),2,1,6,1,0,1,1,1,1,1,1
102,Feel My Rhythm,Red Velvet (레드벨벳),1,0,5,1,1,0,0,1,0,0,1
103,Go!,도겸 (SEVENTEEN),0,0,6,0,1,0,3,2,0,0,3
104,TOMBOY,(여자)아이들,1,2,5,0,0,2,0,2,1,3,0
