,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,사랑은 늘 도망가,임영웅,5,,,,,,,,,,
1,코 끝이 찡하게,차가을,5,,,,,,,,,,
2,혼자 사랑하고 미워해,백예슬,5,,,,,,,,,,
3,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),5,,,,,,,,,,
4,Your Lights,이수 (엠씨더맥스),5,,,,,,,,,,
5,너와 나 우리 (Feat. ZELO of B.A.P),이예준,5,,,,,,,,,,
6,별이 쏟아지는 밤,려욱 (RYEOWOOK),5,,,,,,,,,,
7,헤픈 우연,헤이즈 (Heize),5,,,,,,,,,,
8,Falling,Harry Styles,5,,,,,,,,,,
9,High,5 Seconds of Summer,5,,,,,,,,,,
10,If the World Was Ending (feat. Julia Michaels) (Feat. Julia Michaels),JP Saxe,5,,,,,,,,,,
11,그냥 안아달란 말야,다비치,5,,,,,,,,,,
12,2 soon,keshi,5,,,,,,,,,,
13,r u ok,Tate McRae,5,,,,,,,,,,
14,cheap sunglasses,John K,5,,,,,,,,,,
15,Rain,태연 (TAEYEON),5,,,,,,,,,,
16,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),5,,,,,,,,,,
17,기다릴게,"하동균, 봉구",5,,,,,,,,,,
18,사랑하기 싫어,영지,5,,,,,,,,,,
19,Gone,로제 (ROSÉ),5,,,,,,,,,,
20,To Die For (Acoustic),Sam Smith,5,,,,,,,,,,
21,"Rosario (Feat. CL, ZICO)",에픽하이 (EPIK HIGH),5,,,,,,,,,,
22,rainy day,"휘성 (Realslow), 태일 (블락비), 청하",5,,,,,,,,,,
23,LMM,화사 (Hwa Sa),5,,,,,,,,,,
24,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),5,,,,,,,,,,
25,멜로디,ASH ISLAND,5,,,,,,,,,,
26,사랑한단 거짓말은 안 할래,"먼데이 키즈 (Monday Kiz), 최현준 (V.O.S)",5,,,,,,,,,,
27,함께 했는데 이별은 나 혼자인 거야,이소정,5,,,,,,,,,,
28,X (걸어온 길에 꽃밭 따윈 없었죠),청하,5,,,,,,,,,,
29,그리워하면 그댈 만날까봐,김나영,5,,,,,,,,,,
30,오월의 어느 봄날 (Feat. 첸(CHEN)),임한별,5,,,,,,,,,,
31,혼술하고 싶은 밤,벤,5,,,,,,,,,,
32,가을밤에 든 생각,잔나비,5,,,,,,,,,,
33,사실 나는 (Feat.전건호),경서예지,5,,,,,,,,,,
34,널 사랑했던 한 사람,펀치 (Punch),5,,,,,,,,,,
35,안녕과 안녕으로,이예준,5,,,,,,,,,,
36,Daybreak (Minhyun&JR),뉴이스트,5,,,,,,,,,,
37,사랑은 지날수록 더욱 선명하게 남아,전상근,5,,,,,,,,,,
38,처음이라서,정효빈,5,,,,,,,,,,
39,Purpose (Stripped),Etham,5,,,,,,,,,,
40,"안녕, 오늘의 그대에게",임한별,5,,,,,,,,,,
41,Like Strangers Do,AJ Mitchell,5,,,,,,,,,,
42,반만,진민호,5,,,,,,,,,,
43,어떻게 지내 (Prod. By VAN.C),오반,5,,,,,,,,,,
44,AND I,뉴이스트 W,5,,,,,,,,,,
45,아름답고도 아프구나,비투비,5,,,,,,,,,,
46,Lonely Night,권진아,5,,,,,,,,,,
47,I’ll Still Have Me,Cyn,5,,,,,,,,,,
48,"아무렇지 않게, 안녕",HYNN (박혜원),5,,,,,,,,,,
49,넌 내가 보고 싶지 않나 봐,신예영,5,,,,,,,,,,
50,사랑했던 날들,백지영,5,,,,,,,,,,
51,우리 만남이,폴킴,5,,,,,,,,,,
52,See You Again (Feat. 리처드 용재 오닐),백지영,5,,,,,,,,,,
53,깊은 밤을 보내줘요,오왠 (O.WHEN),5,,,,,,,,,,
54,소리,이수현,5,,,,,,,,,,
55,다 그렇지 뭐,헤이즈 (Heize),5,,,,,,,,,,
56,그저 바라본다,에일리(Ailee),5,,,,,,,,,,
57,우리 왜 헤어져야 해,신예영,5,,,,,,,,,,
58,Say,윤미래,5,,,,,,,,,,
59,포장마차,황인욱,5,,,,,,,,,,
60,Know Me Too Well,"New Hope Club, Danna Paola",5,,,,,,,,,,
61,LET ME OUT,HYNN (박혜원),5,,,,,,,,,,
62,둘만의 세상으로 가,Crush,5,,,,,,,,,,
63,Someone You Loved,Lewis Capaldi,5,,,,,,,,,,
64,그리움의 언덕,에이프릴 세컨드,5,,,,,,,,,,
65,자장가,아이유,5,,,,,,,,,,
66,잘 살고 있다,V.O.S,5,,,,,,,,,,
67,봄의 발라드 (With NILE(나일)),HYNN (박혜원),5,,,,,,,,,,
68,이 노랜 꽤 오래된 거야 (A song from the past),"솔라 (마마무), 케이시 (Kassy)",5,,,,,,,,,,
69,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),5,,,,,,,,,,
70,어떤 날엔,김재환,5,,,,,,,,,,
71,"다시 난, 여기",백예린 (Yerin Baek),5,,,,,,,,,,
72,Here I Am,태연 (TAEYEON),5,,,,,,,,,,
73,Sims,Lauv,5,,,,,,,,,,
74,Love poem,아이유,5,,,,,,,,,,
75,진심,김범수,5,,,,,,,,,,
76,My Dream,윤미래,5,,,,,,,,,,
77,있어줘요,장덕철,5,,,,,,,,,,
78,헤어지자 (Prod. 정키),휘인 (Whee In),5,,,,,,,,,,
79,EX,Kiana Lede,5,,,,,,,,,,
80,이별행동,이우,5,,,,,,,,,,
81,Dancing With Your Ghost,Sasha Alex Sloan,5,,,,,,,,,,
82,Yesterday,선명 (先命),5,,,,,,,,,,
83,받는 사랑이 주는 사랑에게,다비치,5,,,,,,,,,,
84,가을밤 떠난 너,케이시 (Kassy),5,,,,,,,,,,
85,숫자,이적,5,,,,,,,,,,
86,안녕,폴킴,5,,,,,,,,,,
87,기억해줘요 내 모든 날과 그때를,거미,5,,,,,,,,,,
88,슬픈가요,바이브,5,,,,,,,,,,
89,비가 내리는 날에는,윤하 (YOUNHA),5,,,,,,,,,,
90,The Other,Lauv,5,,,,,,,,,,
91,솔직하게 말해서 나,김나영,5,,,,,,,,,,
92,Easily,Bruno Major,5,,,,,,,,,,
93,시든 꽃에 물을 주듯,HYNN (박혜원),5,,,,,,,,,,
94,Never Not,Lauv,5,,,,,,,,,,
95,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,5,,,,,,,,,,
96,Surrender (Feat. 린),챈슬러,5,,,,,,,,,,
97,그런 날 (Feat. 김호연 of 달 좋은 밤),크래커 (CRACKER),5,,,,,,,,,,
98,℃ (도시) (prod.Noden),Lay.bn,5,,,,,,,,,,
99,Chasing Fire (Stripped - Live in London),Lauv,5,,,,,,,,,,
100,Slow,SOLE (쏠),5,,,,,,,,,,
101,Autumn Breeze (Feat. Rachel Lim),JIDA (지다),5,,,,,,,,,,
102,니 소식,송하예,5,,,,,,,,,,
103,넌 어때 (Feat. Donutman),이아람,5,,,,,,,,,,
104,하염없이 (Feat. 정동원),"T.P RETRO (타디스 프로젝트舊), 학선",5,,,,,,,,,,
105,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),5,,,,,,,,,,
106,웃으며,"임재현, 문성욱",5,,,,,,,,,,
107,탓 (Feat. 창모),버나드 박,5,,,,,,,,,,
108,Nervous (Acoustic),Gavin James,5,,,,,,,,,,
109,그대가 살아서,정동원,5,,,,,,,,,,
110,사랑에 연습이 있었다면 (Prod. 2soo),임재현,5,,,,,,,,,,
111,그러니까 (Feat. Colde),헤이즈 (Heize),5,,,,,,,,,,
112,오랜 날 오랜 밤,AKMU (악뮤),5,,,,,,,,,,
113,U R,태연 (TAEYEON),5,,,,,,,,,,
114,꽃이 핀다,케이윌,5,,,,,,,,,,
115,아니길 (Hope Not),BLACKPINK,5,,,,,,,,,,
116,어떻게 생각해,CHEEZE (치즈),5,,,,,,,,,,
117,사랑이 운다,케이윌,5,,,,,,,,,,
118,Blue,태연 (TAEYEON),5,,,,,,,,,,
119,Liability,Lorde,5,,,,,,,,,,
120,너도 그냥 날 놓아주면 돼,윤건,5,,,,,,,,,,
121,Happier,Ed Sheeran,5,,,,,,,,,,
122,화장을 하고,"김연지, 이보람 (씨야)",5,,,,,,,,,,
123,그때가 좋았어,케이시 (Kassy),5,,,,,,,,,,
124,누군가를 떠나 보낸다는 건,먼데이 키즈 (Monday Kiz),5,,,,,,,,,,
125,눈사람,정승환,5,,,,,,,,,,
126,비의 노래,"김연지, 이보람 (씨야)",5,,,,,,,,,,
127,Cosmos,허각,5,,,,,,,,,,
128,그 길에,임한별,5,,,,,,,,,,
129,Is You,에일리(Ailee),5,,,,,,,,,,
130,마음아 미안해,백아연,5,,,,,,,,,,
131,뜻대로,어반자카파,5,,,,,,,,,,
132,갈 수가 없어,벤,5,,,,,,,,,,
133,애쓰지 마요,박보람,5,,,,,,,,,,
134,좀 더 잘래요,김그림,5,,,,,,,,,,
135,흔한 이별,허각,5,,,,,,,,,,
136,Goodbye,웬디 (WENDY),5,,,,,,,,,,
137,두 가지 일,먼데이 키즈 (Monday Kiz),5,,,,,,,,,,
138,내 생에 아름다운,케이윌,5,,,,,,,,,,
139,I'll Never Love Again (Extended Version),Lady Gaga,5,,,,,,,,,,
140,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,5,,,,,,,,,,
141,벚꽃연가,첸 (CHEN),5,,,,,,,,,,
142,꿈처럼 내린,다비치,5,,,,,,,,,,
143,고백,양다일,5,,,,,,,,,,
