,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,...사랑했잖아...,린,,,1,,,,,,,,
1,가시,버즈,,,1,,,,,,,,
2,나의 마음을 담아 ('달빛천사' 여는노래),이용신,,,1,,,,,,,,
3,다시 사랑할 수 있을까,"포맨 (4MEN), 박정은",,,1,,,,,,,,
4,Perhaps Love (사랑인가요),"하울, 제이",,,1,,,,,,,,
5,Hawaian couple (에뛰드 복숭아송 원곡),HUS (허밍어반스테레오),,,1,,,,,,,,
6,내사람 : Partner For Life,SG 워너비,,,1,,,,,,,,
7,비행기,거북이,,,1,,,,,,,,
8,김밥,더 자두,,,1,,,,,,,,
9,"사랑해요 (Feat. V.O.S 김경록, 태인)",나몰라패밀리 (Namolla Family),,,1,,,,,,,,
10,Y (Please Tell Me Why),프리스타일,,,1,,,,,,,,
11,니가 참 좋아,쥬얼리,,,1,,,,,,,,
12,해바라기 (Feat. 써니사이드 MJ),가비엔제이,,,1,,,,,,,,
13,잘가요 내사랑,에이트,,,1,,,,,,,,
14,가슴 아파도,플라이 투 더 스카이,,,1,,,,,,,,
15,아마도 그건,홍민정,,,1,,,,,,,,
16,편지 (Feat. 엘른),하모닉스,,,1,,,,,,,,
17,웃는거야,서영은,,,1,,,,,,,,
18,Promise U,바이브,,,1,,,,,,,,
19,사랑..그 놈,바비 킴,,,1,,,,,,,,
20,잘 부탁드립니다,익스,,,1,,,,,,,,
21,I Love Rock & Roll,코요태,,,1,,,,,,,,
22,통화 연결음,써니힐,,,1,,,,,,,,
23,이별후애 (Feat. 주보라),원써겐,,,1,,,,,,,,
24,바보에게... 바보가,박명수,,,1,,,,,,,,
25,발자국,먼데이 키즈 (Monday Kiz),,,1,,,,,,,,
26,너말고 니언니 (Original),이지라이프,,,1,,,,,,,,
27,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍,,,1,,,,,,,,
28,면도,V.One,,,1,,,,,,,,
29,힘 내! (Way To Go),소녀시대 (GIRLS' GENERATION),,,1,,,,,,,,
30,러브119 (Feat. MC몽),케이윌,,,1,,,,,,,,
31,낙원 (Feat. 이재훈),싸이 (PSY),,,1,,,,,,,,
32,U-Go-Girl (With 낯선),이효리,,,1,,,,,,,,
33,여자이니까,키스,,,1,,,,,,,,
34,흉터,먼데이 키즈 (Monday Kiz),,,1,,,,,,,,
35,Always,신지,,,1,,,,,,,,
36,헤어지는 중입니다,이은미,,,1,,,,,,,,
37,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH),,,1,,,,,,,,
38,Happy Day,체리 필터,,,1,,,,,,,,
39,이바보,원더걸스,,,1,,,,,,,,
40,내가 웃는게 아니야 (Feat. ALI),리쌍,,,1,,,,,,,,
41,첫사랑,나비효과,,,1,,,,,,,,
42,늦은 후회,보보,,,1,,,,,,,,
43,아리랑,SG 워너비,,,1,,,,,,,,
44,그리고 그후,프리스타일,,,1,,,,,,,,
45,별,유미,,,1,,,,,,,,
46,키 작은 꼬마 이야기,하하,,,1,,,,,,,,
47,첫사랑,파란,,,1,,,,,,,,
48,사랑합니다...,팀,,,1,,,,,,,,
49,내 사랑,태사비애,,,1,,,,,,,,
50,Grace,이수영,,,1,,,,,,,,
51,미인 (美人),이기찬,,,1,,,,,,,,
52,여우비,제이워크,,,1,,,,,,,,
53,Angel,신화,,,1,,,,,,,,
54,우산 (Feat. 윤하),에픽하이 (EPIK HIGH),,,1,,,,,,,,
55,오빠,왁스,,,1,,,,,,,,
56,Love Letter (언약),투샤이,,,1,,,,,,,,
57,죄와벌,SG 워너비,,,1,,,,,,,,
58,내일 할 일,윤종신,,,1,,,,,,,,
59,사랑의 인사,씨야,,,1,,,,,,,,
60,Without You,원타임,,,1,,,,,,,,
61,솜사탕,네미시스,,,1,,,,,,,,
62,둘이서 (CF - 빙그레 '바나나맛 우유'),채연,,,1,,,,,,,,
63,내 삶의 반,한경일,,,1,,,,,,,,
64,바본가봐,아이비,,,1,,,,,,,,
65,Hug,동방신기 (TVXQ!),,,1,,,,,,,,
