,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,Alive,캐스커,,,,1,,,,,,,
1,Save me,leeSA (리싸),,,,1,,,,,,,
2,소나기,우효,,,,1,,,,,,,
3,(Bonus) What Are You Seeing? (Performance in film),선우정아,,,,1,,,,,,,
4,Teardrop,Massive Attack,,,,1,,,,,,,
5,안개,보아 (BoA),,,,1,,,,,,,
6,Nobody Knows,김윤아,,,,1,,,,,,,
7,꽃이 지다  (Feat. 조원선),정재형,,,,1,,,,,,,
8,목소리,김윤아,,,,1,,,,,,,
9,숨결,Mad Soul Child,,,,1,,,,,,,
10,그렇습니까,흐른,,,,1,,,,,,,
11,Moonlight,이바다,,,,1,,,,,,,
12,Kiss or Kill,가인,,,,1,,,,,,,
13,천 개의 태양,캐스커,,,,1,,,,,,,
14,Butterfly,최정인,,,,1,,,,,,,
15,I Can't Never Stop,이바다,,,,1,,,,,,,
16,멈춰버린 밤 (Still Ist Die Nacht),엘리케이 (Elli K),,,,1,,,,,,,
17,별빛속으로 (Feat. 박지윤),김C,,,,1,,,,,,,
18,Theme Intro,방준석,,,,1,,,,,,,
19,잡아줘,이바다,,,,1,,,,,,,
20,빨간구두,정중한,,,,1,,,,,,,
21,Curse of Girl,박정현,,,,1,,,,,,,
22,나비,혜림,,,,1,,,,,,,
23,유리,김윤아,,,,1,,,,,,,
24,Kim Ju Young,박정은,,,,1,,,,,,,
25,길,김윤아,,,,1,,,,,,,
26,Theme Tango Bandoneon Final,방준석,,,,1,,,,,,,
27,그림자,진실,,,,1,,,,,,,
28,I Am,잉키,,,,1,,,,,,,
29,주어진 단서,정중한,,,,1,,,,,,,
30,I Can't Get You Off My Mind,Miss Li,,,,1,,,,,,,
31,Chase,난아진,,,,1,,,,,,,
32,자각몽 (Feat. 올티),김윤아,,,,1,,,,,,,
33,Endless Night,"김태성, 최정인",,,,1,,,,,,,
34,세상 밖으로,잉키,,,,1,,,,,,,
35,City Of Time (Feat. 영지),마리오,,,,1,,,,,,,
36,It Could Be You (Feat. 일레인),정중한,,,,1,,,,,,,
37,Dear,Mad Soul Child,,,,1,,,,,,,
38,DAYS and MOONS,Elsa Kopf,,,,1,,,,,,,
39,Rush,에브리 싱글 데이,,,,1,,,,,,,
40,떠나야 할 그 사람,잉키,,,,1,,,,,,,
41,시린꽃 (Original Ver.),Booth,,,,1,,,,,,,
42,Was Justice Delivered,노형우,,,,1,,,,,,,
43,아무도 믿지 말 것,정중한,,,,1,,,,,,,
44,STAY,Steelheart,,,,1,,,,,,,
45,eclipse (이클립스),Patrick Joseph,,,,1,,,,,,,
46,This Is The Beginning,Marco Beltrami,,,,1,,,,,,,
47,Superbad (11:34),Travie McCoy,,,,1,,,,,,,
48,비극 3 (진실),Various Artists,,,,1,,,,,,,
49,돌이킬 수 없는 걸음,이병우,,,,1,,,,,,,
50,또 다른 나,헤이즈,,,,1,,,,,,,
51,F,다운헬,,,,1,,,,,,,
