,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,사실 난,디어클라우드,,,,,,,,,,,1
1,청춘 (Feat. 김창완),김필,,,,,,,,,,,1
2,클로즈,못 (Mot),,,,,,,,,,,1
3,내가 사랑한 모든 것들은 나를 눈물짓게 할 테니까,모브닝 (MOVNING),,,,,,,,,,,1
4,어느 새(디깅클럽서울 Ver.),백예린 (Yerin Baek),,,,,,,,,,,1
5,Away,"Collective Arts (콜렉티브아츠), 김현창",,,,,,,,,,,1
6,그런 밤,어반자카파,,,,,,,,,,,1
7,행복해 보이는 사람처럼,빌리어코스티,,,,,,,,,,,1
8,어른,이섭,,,,,,,,,,,1
9,꽃 (Prod. 로코베리),윤미래,,,,,,,,,,,1
10,놓아줘 (Let Me Out),종현 (JONGHYUN),,,,,,,,,,,1
11,I Am Blue,1415,,,,,,,,,,,1
12,솔직히 지친다,청하,,,,,,,,,,,1
13,나,박원,,,,,,,,,,,1
14,Balloon,지코 (ZICO),,,,,,,,,,,1
15,살얼음,브로콜리너마저,,,,,,,,,,,1
16,나란놈,적재,,,,,,,,,,,1
17,낙엽의 비,넬 (NELL),,,,,,,,,,,1
18,답을 찾지 못한 날,윤하 (YOUNHA),,,,,,,,,,,1
19,청춘,하비누아주,,,,,,,,,,,1
20,HELP,10CM,,,,,,,,,,,1
21,헛되었어,못 (Mot),,,,,,,,,,,1
22,바람이 분다,이소라,,,,,,,,,,,1
23,청춘,뜨거운 감자,,,,,,,,,,,1
24,삐뚤어졌어 (Remastered Ver.),선우정아,,,,,,,,,,,1
25,주변인,노리플라이 (no reply),,,,,,,,,,,1
26,Kalt (Feat. JOONIE),오존 (O3ohn),,,,,,,,,,,1
27,가만히 두세요.,김윤아,,,,,,,,,,,1
28,오늘,오왠 (O.WHEN),,,,,,,,,,,1
29,불과 얼음 (feat. 예솔),스컬,,,,,,,,,,,1
30,잊을만하면,달콤한 소금,,,,,,,,,,,1
31,어른,Sondia,,,,,,,,,,,1
32,집이없어 (Feat. Dorothy),아인 (AIN),,,,,,,,,,,1
33,산하엽 (Diphylleia grayi),종현 (JONGHYUN),,,,,,,,,,,1
34,물고기자리,9와 숫자들,,,,,,,,,,,1
35,USELESS,정준일,,,,,,,,,,,1
36,머리가 자란다,데이브레이크 (DAYBREAK),,,,,,,,,,,1
37,후회,곽진언,,,,,,,,,,,1
38,비행운,문문 (MoonMoon),,,,,,,,,,,1
39,불안은 영혼을 잠식한다.,김윤아,,,,,,,,,,,1
40,우울,어반자카파,,,,,,,,,,,1
41,날개,못 (Mot),,,,,,,,,,,1
42,Don't Break Your Heart,사비나앤드론즈,,,,,,,,,,,1
43,파탈리테,심규선 (Lucia),,,,,,,,,,,1
44,겨울로 가기 위해 사는 밤 (Feat. 황득경 Of 노티스노트),안녕의 온도,,,,,,,,,,,1
45,Faded,Alan Walker,,,,,,,,,,,1
46,혼자라는 느낌,이상은 (=Lee-tzsche),,,,,,,,,,,1
47,재와 연기의 노래,못 (Mot),,,,,,,,,,,1
48,Scenery,Ashmute (애쉬뮤트),,,,,,,,,,,1
49,엘리베이터 (Elevator),종현 (JONGHYUN),,,,,,,,,,,1
50,주변인,AKMU (악뮤),,,,,,,,,,,1
51,감정불구,3호선 버터플라이,,,,,,,,,,,1
52,51 분전,넬 (NELL),,,,,,,,,,,1
