,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,어느 날 (Duet With 김윤아),이적,,,,,1,,,,,,
1,Ovum,레이니 썬,,,,,1,,,,,,
2,이상한 얘기 (Daytripper),하키,,,,,1,,,,,,
3,New 욕,자우림,,,,,1,,,,,,
4,우린 결국 그렇게 (Feat. Seori),기리보이,,,,,1,,,,,,
5,버려진 것들,스웨덴세탁소,,,,,1,,,,,,
6,길 잃은 강아지,아이유,,,,,1,,,,,,
7,"19금
전 여자친구에게 (Feat. 선우정아)",San E,,,,,1,,,,,,
8,행복합니다 (Feat. 김종완 Of Nell),에픽하이 (EPIK HIGH),,,,,1,,,,,,
9,요단강,네스티요나,,,,,1,,,,,,
10,Plastic Flower (상사병),박정현,,,,,1,,,,,,
11,탈진,황보령,,,,,1,,,,,,
12,잔혹동화,아이유,,,,,1,,,,,,
13,괴물,PPCX (피터팬컴플렉스),,,,,1,,,,,,
14,늪,조관우,,,,,1,,,,,,
15,암실,쏜애플 (THORNAPPLE),,,,,1,,,,,,
16,뱀,키치레코드,,,,,1,,,,,,
17,Act 5,넬 (NELL),,,,,1,,,,,,
18,교실이데아,서태지,,,,,1,,,,,,
19,령혼,양파,,,,,1,,,,,,
20,오르골 (Orgel),SHINee (샤이니),,,,,1,,,,,,
21,새,자우림,,,,,1,,,,,,
22,Paradise Lost,가인,,,,,1,,,,,,
23,하비샴의 왈츠 (Miss Havishams Waltz),박정현,,,,,1,,,,,,
24,Dracula,f(x),,,,,1,,,,,,
25,미친거니 (Feat. 방용국),송지은,,,,,1,,,,,,
26,낙화(落花),자우림,,,,,1,,,,,,
27,피해망상 Pt. 1 (Feat. Junggigo),에픽하이 (EPIK HIGH),,,,,1,,,,,,
28,음탕한 계집,정차식,,,,,1,,,,,,
29,저주인형,VIXX (빅스),,,,,1,,,,,,
30,미궁,황병기,,,,,1,,,,,,
