,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,어떤X (What Type of X),제시 (Jessi),,1,,,,,,,,,
1,Break,빈지노 (Beenzino),,1,,,,,,,,,
2,가라고 (Gotta Go),선미,,1,,,,,,,,,
3,야 우냐 (U MAD),BOBBY,,1,,,,,,,,,
4,WHY DO FUCKBOIS HANG OUT ON THE NET,키드밀리 (Kid Milli),,1,,,,,,,,,
5,부럽지가 않어,장기하,,1,,,,,,,,,
6,GIDDY UP (Prod. GroovyRoom),"식케이 (Sik-K), 김하온 (HAON), pH-1, Woodie Gochild, 박재범",,1,,,,,,,,,
7,Boss Bitch,Doja Cat,,1,,,,,,,,,
8,BOSS,NCT U,,1,,,,,,,,,
9,Psycho,Mia Rodriguez,,1,,,,,,,,,
10,Uh-Oh,(여자)아이들,,1,,,,,,,,,
11,TOMBOY,(여자)아이들,,1,,,,,,,,,
12,DNA Remix,"박재범, YLN Foreign (이정운), D.Ark (디아크), 365LIT, pH-1, 릴보이 (lIlBOI), 이영지, 아우릴고트 (OUREALGOAT), Choo, OSUN (권오선)",,1,,,,,,,,,
13,Step Back,GOT the beat,,1,,,,,,,,,
14,Cherry Bomb,NCT 127,,1,,,,,,,,,
15,Burn (Feat. 쿠기),그루비룸 (GroovyRoom),,1,,,,,,,,,
16,그건 니 생각이고,장기하와 얼굴들,,1,,,,,,,,,
17,Ah Yeah,EXID,,1,,,,,,,,,
18,거절할 거야,장기하와 얼굴들,,1,,,,,,,,,
19,미쳐,4minute,,1,,,,,,,,,
20,나쁜 기집애,CL,,1,,,,,,,,,
21,보자보자,머쉬베놈 (MUSHVENOM),,1,,,,,,,,,
22,욱 (UGH!),방탄소년단,,1,,,,,,,,,
23,소년점프 (Feat. 배기성),마미손,,1,,,,,,,,,
24,돌덩이,하현우 (국카스텐),,1,,,,,,,,,
25,Anarchy,Jvcki Wai,,1,,,,,,,,,
26,Dumb Litty,카드 (KARD),,1,,,,,,,,,
27,So Pretty,Reyanna Maria,,1,,,,,,,,,
28,Very Good (Rough Ver.),블락비 (Block B),,1,,,,,,,,,
29,High Hopes,Panic! At The Disco,,1,,,,,,,,,
30,출첵 (Feat. 나얼 For Brown Eyed Soul),다이나믹 듀오,,1,,,,,,,,,
31,얼음 땡 (Ice Ice) (Feat. 육지담),현아,,1,,,,,,,,,
32,HIP,마마무 (Mamamoo),,1,,,,,,,,,
33,My Number,치타 (CHEETAH),,1,,,,,,,,,
34,품행제로,블락비 바스타즈,,1,,,,,,,,,
35,사이다,예지,,1,,,,,,,,,
36,Hello Bitches,CL,,1,,,,,,,,,
37,"털어! (Feat. M1NU, Veinyfl, Swervy, 래원, 이영지, Lil Nekh, D.Ark)",BIG Naughty (서동현),,1,,,,,,,,,
