,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,Six Feet Under,Billie Eilish,,,,,,,,,1,,
1,Your Eyes,선우정아,,,,,,,,,1,,
2,괴물이 되어가는 사람들,"하근영, 김예솔",,,,,,,,,1,,
3,Somewhere (Memory Ver.),하진 (HAJIN),,,,,,,,,1,,
4,T-KT,Sawano Hiroyuki,,,,,,,,,1,,
5,Empty,카더가든,,,,,,,,,1,,
6,슬픈 끝맺음,"남혜승, 박상희",,,,,,,,,1,,
7,Don't Bring Me Down,일레인,,,,,,,,,1,,
8,Castle,Halsey,,,,,,,,,1,,
9,Lullaby,너드커넥션 (Nerd Connection),,,,,,,,,1,,
10,빨간 하늘,임승범,,,,,,,,,1,,
11,The Love,호피폴라,,,,,,,,,1,,
12,Somewhere,오존 (O3ohn),,,,,,,,,1,,
13,Set Me Free,가인,,,,,,,,,1,,
14,IDK,MOSSS,,,,,,,,,1,,
15,Lost Time,"개미, 박정환",,,,,,,,,1,,
16,RescuE,윤하 (YOUNHA),,,,,,,,,1,,
17,Michael's Sword,오혜주,,,,,,,,,1,,
18,LUCA,젬마(JEMMA),,,,,,,,,1,,
19,The First Day,락다이아몬드,,,,,,,,,1,,
20,Body Talk,Red Velvet (레드벨벳),,,,,,,,,1,,
21,We all lie (Slow Ver.),하진 (HAJIN),,,,,,,,,1,,
22,Dark Sun,개미,,,,,,,,,1,,
23,Call of Silence,Sawano Hiroyuki [nZk],,,,,,,,,1,,
24,슬픈 행진 (Sad March),일레인,,,,,,,,,1,,
25,전쟁터 (with 이선희),AKMU (악뮤),,,,,,,,,1,,
26,Through Time,"김동혁, 이한범",,,,,,,,,1,,
27,Lost,윤미래,,,,,,,,,1,,
28,Kingdom Come,Red Velvet (레드벨벳),,,,,,,,,1,,
29,Timeless,비비 (BIBI),,,,,,,,,1,,
30,Control,Halsey,,,,,,,,,1,,
31,잘 알지도 못하면서,김예림 (Lim Kim),,,,,,,,,1,,
32,Pandora,락다이아몬드,,,,,,,,,1,,
33,자각몽 (Lucid Dream),"Asteria, Sondia",,,,,,,,,1,,
34,다시 웃을 수 있을까,김민승,,,,,,,,,1,,
35,불꽃,초아,,,,,,,,,1,,
36,시간,가호 (Gaho),,,,,,,,,1,,
37,Lost Family,"하근영, 조은정",,,,,,,,,1,,
38,자각몽,모노그램,,,,,,,,,1,,
39,목소리,김연지,,,,,,,,,1,,
40,Pray,클랑 (KLANG),,,,,,,,,1,,
41,"괴물, 누구인가","하근영, 김예솔",,,,,,,,,1,,
42,Poker Face,김유안,,,,,,,,,1,,
43,낮은 목소리,JAMIE (제이미),,,,,,,,,1,,
