,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,봄눈,펜타곤,,,,,,,,,,1,
1,첫 데이트,스윗소로우 (SWEET SORROW),,,,,,,,,,1,
2,벚꽃 엔딩,버스커 버스커,,,,,,,,,,1,
3,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",,,,,,,,,,1,
4,우연히 봄,"로꼬, 유주 (YUJU)",,,,,,,,,,1,
5,"봄날, 벚꽃 그리고 너",에피톤 프로젝트,,,,,,,,,,1,
6,봄인가 봐 (Spring Love),"에릭남 (Eric Nam), 웬디 (WENDY)",,,,,,,,,,1,
7,"One More Time, One More Chance (초속5센티미터 OST 2007)",Various Artists,,,,,,,,,,1,
8,봄바람 (Feat. 나얼),이문세,,,,,,,,,,1,
9,너는 나의 봄이다,성시경,,,,,,,,,,1,
10,Love Blossom (러브블러썸),케이윌,,,,,,,,,,1,
11,봄 타나봐 (BOMTANABA),서인국,,,,,,,,,,1,
12,너에게만 반응해 (Feat. 이소은),이승환,,,,,,,,,,1,
13,두근두근,써니힐,,,,,,,,,,1,
14,벚꽃이 내린다,소란 (SORAN),,,,,,,,,,1,
15,봄날의 기억,비투비,,,,,,,,,,1,
16,봄이 오면 (Piano ver.),김윤아,,,,,,,,,,1,
17,벚꽃이 지면,아이오아이 (I.O.I),,,,,,,,,,1,
18,장난 아닌데,DAY6 (데이식스),,,,,,,,,,1,
19,봄이 좋냐??,10CM,,,,,,,,,,1,
20,Sunshine,짙은,,,,,,,,,,1,
21,봄날에 만나자 (Acoustic Ver.),한올,,,,,,,,,,1,
22,Dream All Day,김지수,,,,,,,,,,1,
23,봄날,정엽,,,,,,,,,,1,
24,꽃송이가,버스커 버스커,,,,,,,,,,1,
25,어느 봄날,2am,,,,,,,,,,1,
26,파란 봄,에일리(Ailee),,,,,,,,,,1,
27,꽃길 (With ZISU),새봄 (saevom),,,,,,,,,,1,
28,"나만, 봄",볼빨간사춘기,,,,,,,,,,1,
29,봄처녀,선우정아,,,,,,,,,,1,
30,너를 담아 봄 (Feat. 스무살),바닐라 어쿠스틱,,,,,,,,,,1,
31,"다시, 봄",정승환,,,,,,,,,,1,
32,Can't Stop,CNBLUE (씨엔블루),,,,,,,,,,1,
33,왔나봄,Ways (웨이즈),,,,,,,,,,1,
34,춘곤 (春困),윤현상,,,,,,,,,,1,
35,Chocolate,DAY6 (데이식스),,,,,,,,,,1,
36,꽃처럼 한 철만 사랑해 줄 건가요? (Sakura Moment),"심규선 (Lucia), 에피톤 프로젝트",,,,,,,,,,1,
37,봄이라서 발매함,오브로젝트,,,,,,,,,,1,
38,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,,,,,,,,,,1,
39,들었다 놨다 (Love Actually),"써니힐, 데이브레이크 (DAYBREAK)",,,,,,,,,,1,
40,벚꽃이 핀다고 날 찾지 말아요,"김댕, 팝콘",,,,,,,,,,1,
41,너의 꽃말,심규선 (Lucia),,,,,,,,,,1,
42,손 닿으면,장범준,,,,,,,,,,1,
43,날씨도 좋은데 (With 임동현),타코앤제이형,,,,,,,,,,1,
44,우리의 봄날은 지나갔지만,유지희 (Yujihi),,,,,,,,,,1,
45,"사랑, 하자",수호 (SUHO),,,,,,,,,,1,
46,봄타,마마무 (Mamamoo),,,,,,,,,,1,
47,그대는 봄인가 (Feat. 은종),윤선하,,,,,,,,,,1,
48,3월 같은 너,존박,,,,,,,,,,1,
49,봄 (feat. 산다라박),박봄 (Park Bom),,,,,,,,,,1,
50,LOVE IS YOU,홍대광,,,,,,,,,,1,
51,꽃잎점 (하트시그널 삽입곡),PERC%NT,,,,,,,,,,1,
52,벚꽃이 떨어질 때,이민혁,,,,,,,,,,1,
53,벚꽃 레이스,달에닿아,,,,,,,,,,1,
54,벚꽃잎이 내려앉으며,더 라임,,,,,,,,,,1,
55,봄바람,버스커 버스커,,,,,,,,,,1,
56,벚꽃웨딩,이지형,,,,,,,,,,1,
57,설레는 노래,이지형,,,,,,,,,,1,
58,봄편지 (love letter),설경,,,,,,,,,,1,
59,봄이 온 것 같애,1415,,,,,,,,,,1,
60,Day Dream (白日夢),NCT 127,,,,,,,,,,1,
61,우린 봄이 오기 전에 (Before Our Spring),종현 (JONGHYUN),,,,,,,,,,1,
62,봄처럼,김보경 (NEON),,,,,,,,,,1,
63,나들이 갈까,볼빨간사춘기,,,,,,,,,,1,
64,봄의 한가운데,홍대광,,,,,,,,,,1,
65,벚꽃,Black Out,,,,,,,,,,1,
