,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,야몽음인 (夜夢陰人),이바다,,,,,,,,1,,,
1,One More Night (Feat. VINXEN),베이빌론 (Babylon),,,,,,,,1,,,
2,Deep,유성은,,,,,,,,1,,,
3,소원이지 (Feat. 유병재),MINO (송민호),,,,,,,,1,,,
4,닿은 순간 (Ooh La La La),EXO,,,,,,,,1,,,
5,비 오는 거리 (Feat. 핫펠트),베이빌론 (Babylon),,,,,,,,1,,,
6,"깜빡 Remix (Feat. Crush, Elo & Jinbo)",GRAY (그레이),,,,,,,,1,,,
7,"Funny (PROD. e.one, SEION)",소유 (SOYOU),,,,,,,,1,,,
8,곡선,선미,,,,,,,,1,,,
9,HERE I COME,신화,,,,,,,,1,,,
10,Trouble Maker,트러블메이커,,,,,,,,1,,,
11,"PLAY ME (Feat. 식케이, PENOMECO)",WOOGIE,,,,,,,,1,,,
12,Cereal (Feat. ZICO),Crush,,,,,,,,1,,,
13,Wanna Love You,폴킴,,,,,,,,1,,,
14,야시시,NS 윤지,,,,,,,,1,,,
15,Lovestar (#럽스타),나비 (Navi),,,,,,,,1,,,
16,아슬해,EXID,,,,,,,,1,,,
17,X (Cross The Moonlight) (Feat. 이라온),마크툽 (MAKTUB),,,,,,,,1,,,
18,매일밤,EXID,,,,,,,,1,,,
19,I Got Love,태연 (TAEYEON),,,,,,,,1,,,
20,피어나,가인,,,,,,,,1,,,
21,Paradise Lost,가인,,,,,,,,1,,,
22,"아끼지마 (Feat. 초아(AOA), 아이언) (Don't Be Shy)",프라이머리,,,,,,,,1,,,
23,우리끼리 (Words Don't Come Easy),마마무 (Mamamoo),,,,,,,,1,,,
24,A-Ha,아이비,,,,,,,,1,,,
25,Sweet & Easy,원더걸스,,,,,,,,1,,,
26,집에 안갈래 (Feat. 긱스),나비 (Navi),,,,,,,,1,,,
27,U & Me (Feat. JINBO),SUMIN (수민),,,,,,,,1,,,
28,Like This (Feat. SOMA),리코 (Rico),,,,,,,,1,,,
29,Tattoo (Feat. 박재범),ELO,,,,,,,,1,,,
30,Melt (Feat. Colde),ELO,,,,,,,,1,,,
31,TOUCH MY BODY,샘김 (Sam Kim),,,,,,,,1,,,
32,"Downtown Love (Feat. 매드클라운, 웨일)",주영,,,,,,,,1,,,
33,Planet Girl (Feat. pH-1),주영,,,,,,,,1,,,
34,Moonlight,나비 (Navi),,,,,,,,1,,,
35,Lily (Feat. 로운 of SF9),AOA,,,,,,,,1,,,
36,단둘이,AOA,,,,,,,,1,,,
37,Chocolate Legs,Eric Benet,,,,,,,,1,,,
38,Stupid (With SugarFlow),HUS (허밍어반스테레오),,,,,,,,1,,,
39,Body Party,Ciara,,,,,,,,1,,,
40,들어와,"허가윤 (4minute), 현아",,,,,,,,1,,,
41,전화기를 꺼놔 Remix (Feat. ELO),박재범,,,,,,,,1,,,
42,Moderato (Feat. Hash Swan),마마무 (Mamamoo),,,,,,,,1,,,
43,잼잼,아이유,,,,,,,,1,,,
44,손만 잡고 자자 (TURN OFF THE LIGHT) (MINO SOLO),WINNER,,,,,,,,1,,,
45,예쁜 아가씨,신혜성,,,,,,,,1,,,
46,하나 더 (One More),피에스타,,,,,,,,1,,,
47,MOVE,태민 (TAEMIN),,,,,,,,1,,,
48,후아힌 (Feat. 강민희 Of 미스에스),CSP,,,,,,,,1,,,
49,찰리채플린,블락비 바스타즈,,,,,,,,1,,,
50,Venus,챈슬러,,,,,,,,1,,,
51,"몸매 (MOMMAE) (Remix) (Feat. Crush, Simon Dominic & Honey Cocaine)",박재범,,,,,,,,1,,,
52,Oasis (Feat. ZICO),Crush,,,,,,,,1,,,
53,몸,MINO (송민호),,,,,,,,1,,,
54,주지마,"로꼬, 화사 (Hwa Sa)",,,,,,,,1,,,
55,데려다 줄게 (Feat. VEN),우탄,,,,,,,,1,,,
56,Chocolate,AOA,,,,,,,,1,,,
57,Baby Good Night,GD&TOP,,,,,,,,1,,,
58,오늘밤,M&N (미료&나르샤),,,,,,,,1,,,
59,베베 (BABE),현아,,,,,,,,1,,,
