,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,사랑은 늘 도망가,임영웅,1,,,,,,,,,,
1,코 끝이 찡하게,차가을,1,,,,,,,,,,
2,혼자 사랑하고 미워해,백예슬,1,,,,,,,,,,
3,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),1,,,,,,,,,,
4,Your Lights,이수 (엠씨더맥스),1,,,,,,,,,,
5,너와 나 우리 (Feat. ZELO of B.A.P),이예준,1,,,,,,,,,,
6,별이 쏟아지는 밤,려욱 (RYEOWOOK),1,,,,,,,,,,
7,헤픈 우연,헤이즈 (Heize),1,,,,,,,,,,
8,Falling,Harry Styles,1,,,,,,,,,,
9,High,5 Seconds of Summer,1,,,,,,,,,,
10,If the World Was Ending (feat. Julia Michaels) (Feat. Julia Michaels),JP Saxe,1,,,,,,,,,,
11,그냥 안아달란 말야,다비치,1,,,,,,,,,,
12,2 soon,keshi,1,,,,,,,,,,
13,r u ok,Tate McRae,1,,,,,,,,,,
14,cheap sunglasses,John K,1,,,,,,,,,,
15,Rain,태연 (TAEYEON),1,,,,,,,,,,
16,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),1,,,,,,,,,,
17,기다릴게,"하동균, 봉구",1,,,,,,,,,,
18,사랑하기 싫어,영지,1,,,,,,,,,,
19,Gone,로제 (ROSÉ),1,,,,,,,,,,
20,To Die For (Acoustic),Sam Smith,1,,,,,,,,,,
21,"Rosario (Feat. CL, ZICO)",에픽하이 (EPIK HIGH),1,,,,,,,,,,
22,rainy day,"휘성 (Realslow), 태일 (블락비), 청하",1,,,,,,,,,,
23,LMM,화사 (Hwa Sa),1,,,,,,,,,,
24,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),1,,,,,,,,,,
25,멜로디,ASH ISLAND,1,,,,,,,,,,
26,사랑한단 거짓말은 안 할래,"먼데이 키즈 (Monday Kiz), 최현준 (V.O.S)",1,,,,,,,,,,
27,함께 했는데 이별은 나 혼자인 거야,이소정,1,,,,,,,,,,
28,X (걸어온 길에 꽃밭 따윈 없었죠),청하,1,,,,,,,,,,
29,그리워하면 그댈 만날까봐,김나영,1,,,,,,,,,,
30,오월의 어느 봄날 (Feat. 첸(CHEN)),임한별,1,,,,,,,,,,
31,혼술하고 싶은 밤,벤,1,,,,,,,,,,
32,가을밤에 든 생각,잔나비,1,,,,,,,,,,
33,사실 나는 (Feat.전건호),경서예지,1,,,,,,,,,,
34,널 사랑했던 한 사람,펀치 (Punch),1,,,,,,,,,,
35,안녕과 안녕으로,이예준,1,,,,,,,,,,
36,Daybreak (Minhyun&JR),뉴이스트,1,,,,,,,,,,
37,사랑은 지날수록 더욱 선명하게 남아,전상근,1,,,,,,,,,,
38,처음이라서,정효빈,1,,,,,,,,,,
39,Purpose (Stripped),Etham,1,,,,,,,,,,
40,"안녕, 오늘의 그대에게",임한별,1,,,,,,,,,,
41,Like Strangers Do,AJ Mitchell,1,,,,,,,,,,
42,반만,진민호,1,,,,,,,,,,
43,어떻게 지내 (Prod. By VAN.C),오반,1,,,,,,,,,,
44,AND I,뉴이스트 W,1,,,,,,,,,,
45,아름답고도 아프구나,비투비,1,,,,,,,,,,
46,Lonely Night,권진아,1,,,,,,,,,,
47,I’ll Still Have Me,Cyn,1,,,,,,,,,,
48,"아무렇지 않게, 안녕",HYNN (박혜원),1,,,,,,,,,,
49,넌 내가 보고 싶지 않나 봐,신예영,1,,,,,,,,,,
50,사랑했던 날들,백지영,1,,,,,,,,,,
51,우리 만남이,폴킴,1,,,,,,,,,,
52,See You Again (Feat. 리처드 용재 오닐),백지영,1,,,,,,,,,,
53,깊은 밤을 보내줘요,오왠 (O.WHEN),1,,,,,,,,,,
54,소리,이수현,1,,,,,,,,,,
55,다 그렇지 뭐,헤이즈 (Heize),1,,,,,,,,,,
56,그저 바라본다,에일리(Ailee),1,,,,,,,,,,
57,우리 왜 헤어져야 해,신예영,1,,,,,,,,,,
58,Say,윤미래,1,,,,,,,,,,
59,포장마차,황인욱,1,,,,,,,,,,
60,Know Me Too Well,"New Hope Club, Danna Paola",1,,,,,,,,,,
61,LET ME OUT,HYNN (박혜원),1,,,,,,,,,,
62,둘만의 세상으로 가,Crush,1,,,,,,,,,,
63,Someone You Loved,Lewis Capaldi,1,,,,,,,,,,
64,그리움의 언덕,에이프릴 세컨드,1,,,,,,,,,,
65,자장가,아이유,1,,,,,,,,,,
66,잘 살고 있다,V.O.S,1,,,,,,,,,,
