,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,In the whale,온유 (ONEW),,,,,,,1,,,,
1,"시계초침 (Feat. BRWN, Huiii)",SUDI,,,,,,,1,,,,
2,So Long (Feat. I'll),THAMA,,,,,,,1,,,,
3,흔적기관 (痕跡器管),"김뮤지엄 (KIMMUSEUM), JEMN",,,,,,,1,,,,
4,친구 사이,DOKO (도코),,,,,,,1,,,,
5,PILLOW,Wynn (윈),,,,,,,1,,,,
6,Love Phobia,온유 (ONEW),,,,,,,1,,,,
7,그걸로도 충분해요 (Feat. 수안),San E,,,,,,,1,,,,
8,Yesterday,초아,,,,,,,1,,,,
9,MDA,hamzzi,,,,,,,1,,,,
10,home alone type.,Mood.,,,,,,,1,,,,
11,Answer,homezone,,,,,,,1,,,,
12,북극성 (Never Goodbye),NCT DREAM,,,,,,,1,,,,
13,잊을 수 없어,9001 (Ninety O One),,,,,,,1,,,,
14,Ending,싸비 (XAVII),,,,,,,1,,,,
15,Yellow (Feat.런치),주시크 (Joosiq),,,,,,,1,,,,
16,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),,,,,,,1,,,,
17,끊기 싫어 버티는 네가 좋아,WEN,,,,,,,1,,,,
18,각자의 취향 (Feat. Paloalto),Milena (밀레나),,,,,,,1,,,,
19,Someday (Feat. SOLE) (Prod. Padi),선재 (snzae),,,,,,,1,,,,
20,right here,keshi,,,,,,,1,,,,
21,HEY,THAMA,,,,,,,1,,,,
22,Ooh Ooh,THAMA,,,,,,,1,,,,
23,이상기후,기리보이,,,,,,,1,,,,
24,운명이란걸 (Feat. KAYA),비미 (BEME),,,,,,,1,,,,
25,NO MORE (Feat. 채수빈),Plo6,,,,,,,1,,,,
26,Cashmere (Feat. 네이비쿼카),리슨 (LYSON),,,,,,,1,,,,
27,마음은 마음대로,우재 (WOOJAE),,,,,,,1,,,,
28,Back to Love,FRankly (프랭클리),,,,,,,1,,,,
29,Forever (feat. So!YoON!),Rad Museum,,,,,,,1,,,,
30,젖은 우산,Rad Museum,,,,,,,1,,,,
31,이렇게 둘이,창모 (CHANGMO),,,,,,,1,,,,
32,우린 어떠한 별보다 빛날 거야,이하이,,,,,,,1,,,,
33,Maybe We Could Be a Thing,"Jesse Barrera, Michael Carreon, Albert Posis",,,,,,,1,,,,
34,GANADARA (Feat. 아이유),박재범,,,,,,,1,,,,
35,A LOT,John K,,,,,,,1,,,,
36,Love yourself,저드 (jerd),,,,,,,1,,,,
37,우리 얘기 좀 하자 (With 예빈(다이아)),단칸방 로맨스,,,,,,,1,,,,
38,October Rain,JEHO,,,,,,,1,,,,
39,어제처럼,폴킴,,,,,,,1,,,,
40,"손을 잡는다거나, 같이 걷는다거나",적재,,,,,,,1,,,,
41,"Fallin (Acoustic ver.) (Song by SIM2, Owler)",SOUND PALETTE,,,,,,,1,,,,
42,Pilot,NCT 127,,,,,,,1,,,,
